year_code,country_code,qualityoflife_key,unemployment_rate,unemployment_rate_male,unemployment_rate_female,suicide_rate,suicide_rate_male,suicide_rate_female,sanitation_access,sanitation_access_urban,sanitation_access_rural,drinking_water_access,drinking_water_access_urban,drinking_water_access_rural,open_defecation_practice,death_probability_0509,death_probability_1014,death_probability_1519,death_probability_2024,catastrophic_health_expenditure_risk
2020,8,128,2.27,2.07,2.01,7.5,10.4,4.7,89.24647713,96.01296413,85.21422995,96.88435687,99.18304001,95.51453844,2.933473771,1,1.5,3,3.7,21.7
2005,9,129,5.65,5.62,5.73,15.5,17.1,13.7,28.4835452,55.48820744,17.32716408,83.13360985,92.85201703,79.11866408,58.84314476,7,4.9,7.7,10.2,73.3
2006,9,130,5.52,5.5,5.6,15.6,17.6,13.5,31.24230559,56.99052882,20.4324463,83.65179214,92.90758804,79.76593755,55.82200891,6.6,4.7,7.4,10,68.6
2007,9,131,5.41,5.37,5.52,15.3,17.4,12.9,34.01546073,58.50441147,23.56711227,84.16605196,92.963011,80.41277995,52.8141007,6.2,4.5,7.2,9.7,67.7
2008,9,132,5.36,5.42,5.17,15.1,17.3,12.6,36.80268608,60.02985538,26.731162,84.67634135,93.01828589,81.05919126,49.81961911,5.8,4.3,6.9,9.4,63.5
2009,9,133,5.61,5.59,5.67,14.5,16.5,12.4,39.60301534,61.56686057,29.92459547,85.18237554,93.07341273,81.7051715,46.83967414,5.4,4.2,6.6,9,59.3
2010,9,134,5.65,5.6,5.82,14.6,16.3,12.9,42.41651879,63.11542702,33.1474127,85.68425222,93.12839152,82.35072067,43.87389884,5.1,4,6.3,8.7,57.8
2011,9,135,5.65,5.64,5.66,14.7,16.3,12.8,45.24319673,64.67555475,36.39961367,86.18204472,93.18322225,82.99583876,40.92201617,4.7,3.8,6,8.3,50.3
2012,9,136,5.66,5.67,5.6,14.3,16.2,12.2,48.08510146,66.24724374,39.6811984,86.67656079,93.23790492,83.64052577,37.98070296,4.4,3.6,5.7,7.9,53.7
2013,9,137,5.67,5.67,5.63,13.7,15.5,11.8,50.94117568,67.830494,42.99216688,87.16750039,93.29243954,84.28478171,35.05112452,4.1,3.5,5.4,7.5,50.6
2014,9,138,5.6,5.6,5.63,12.8,14.4,11,53.81088813,69.42530554,46.33251911,87.65476481,93.3468261,84.92860657,32.13366505,3.8,3.3,5.1,7.1,49.4
2015,9,139,5.56,5.55,5.6,12.3,13.7,10.8,56.69339984,71.03167834,49.70225509,88.13813263,93.40106461,85.57200035,29.22911238,3.5,3.2,4.8,6.8,44.7
2016,9,140,5.51,5.5,5.54,12.1,13.4,10.6,59.58787271,72.6496124,53.10137483,88.61740577,93.45515505,86.21496306,26.3382637,3.3,3,4.5,6.5,40
2017,9,141,5.41,5.42,5.4,12,13.4,10.5,62.49361923,74.27910774,56.52987831,89.09243315,93.50909745,86.85749469,23.46163252,3.1,2.9,4.3,6.3,37.6
2018,9,142,5.33,5.34,5.3,12.6,14,11,65.40956223,75.92016435,59.98776554,89.56293708,93.56289179,87.49959525,20.60033711,2.9,2.8,4.1,6.1,34.4
2019,9,143,5.27,5.28,5.21,12.7,14.1,11.1,68.33481002,77.57278222,63.47503653,90.02869896,93.61653807,88.14126473,17.75516918,2.8,2.7,4,6,33.7
2020,9,144,7.11,5.28,5.21,12.7,14.1,11.1,71.26847596,79.23696137,66.99169126,90.48952503,93.6700363,88.78250313,14.9269267,2.8,2.7,4,6,31.1
